date,kickoff,stage,group,home,away,venue
2026-06-11,20:00 BST,Group,A,Mexico,South Africa,Mexico City
2026-06-12,03:00 BST,Group,A,South Korea,Czechia,Guadalajara (Zapopan)
2026-06-12,20:00 BST,Group,B,Canada,Bosnia & Herzegovina,Toronto
2026-06-13,02:00 BST,Group,D,USA,Paraguay,Los Angeles (Inglewood)
2026-06-13,20:00 BST,Group,B,Qatar,Switzerland,San Francisco Bay Area (Santa Clara)
2026-06-13,23:00 BST,Group,C,Brazil,Morocco,New York/New Jersey (East Rutherford)
2026-06-14,02:00 BST,Group,C,Haiti,Scotland,Boston (Foxborough)
2026-06-14,05:00 BST,Group,D,Australia,Turkey,Vancouver
2026-06-14,18:00 BST,Group,E,Germany,Curaçao,Houston
2026-06-14,21:00 BST,Group,F,Netherlands,Japan,Dallas (Arlington)
2026-06-15,00:00 BST,Group,E,Ivory Coast,Ecuador,Philadelphia
2026-06-15,03:00 BST,Group,F,Sweden,Tunisia,Monterrey (Guadalupe)
2026-06-15,17:00 BST,Group,H,Spain,Cape Verde,Atlanta
2026-06-15,20:00 BST,Group,G,Belgium,Egypt,Seattle
2026-06-15,23:00 BST,Group,H,Saudi Arabia,Uruguay,Miami (Miami Gardens)
2026-06-16,02:00 BST,Group,G,Iran,New Zealand,Los Angeles (Inglewood)
2026-06-16,20:00 BST,Group,I,France,Senegal,New York/New Jersey (East Rutherford)
2026-06-16,23:00 BST,Group,I,Iraq,Norway,Boston (Foxborough)
2026-06-17,02:00 BST,Group,J,Argentina,Algeria,Kansas City
2026-06-17,05:00 BST,Group,J,Austria,Jordan,San Francisco Bay Area (Santa Clara)
2026-06-17,18:00 BST,Group,K,Portugal,DR Congo,Houston
2026-06-17,21:00 BST,Group,L,England,Croatia,Dallas (Arlington)
2026-06-18,00:00 BST,Group,L,Ghana,Panama,Toronto
2026-06-18,03:00 BST,Group,K,Uzbekistan,Colombia,Mexico City
2026-06-18,17:00 BST,Group,A,Czechia,South Africa,Atlanta
2026-06-18,20:00 BST,Group,B,Switzerland,Bosnia & Herzegovina,Los Angeles (Inglewood)
2026-06-18,23:00 BST,Group,B,Canada,Qatar,Vancouver
2026-06-19,02:00 BST,Group,A,Mexico,South Korea,Guadalajara (Zapopan)
2026-06-19,20:00 BST,Group,D,USA,Australia,Seattle
2026-06-19,23:00 BST,Group,C,Scotland,Morocco,Boston (Foxborough)
2026-06-20,04:00 BST,Group,D,Turkey,Paraguay,San Francisco Bay Area (Santa Clara)
2026-06-20,01:30 BST,Group,C,Brazil,Haiti,Philadelphia
2026-06-20,18:00 BST,Group,F,Netherlands,Sweden,Houston
2026-06-20,21:00 BST,Group,E,Germany,Ivory Coast,Toronto
2026-06-21,01:00 BST,Group,E,Ecuador,Curaçao,Kansas City
2026-06-21,05:00 BST,Group,F,Tunisia,Japan,Monterrey (Guadalupe)
2026-06-21,17:00 BST,Group,H,Spain,Saudi Arabia,Atlanta
2026-06-21,20:00 BST,Group,G,Belgium,Iran,Los Angeles (Inglewood)
2026-06-21,23:00 BST,Group,H,Uruguay,Cape Verde,Miami (Miami Gardens)
2026-06-22,02:00 BST,Group,G,New Zealand,Egypt,Vancouver
2026-06-22,18:00 BST,Group,J,Argentina,Austria,Dallas (Arlington)
2026-06-22,22:00 BST,Group,I,France,Iraq,Philadelphia
2026-06-23,01:00 BST,Group,I,Norway,Senegal,New York/New Jersey (East Rutherford)
