match_id,stage,team_a,team_b,team_a_sot,team_b_sot
1,group,Mexico,South Africa,,
2,group,South Korea,Czechia,6,1
3,group,Canada,Bosnia & Herzegovina,,
4,group,USA,Paraguay,,
5,group,Qatar,Switzerland,,
6,group,Brazil,Morocco,,
7,group,Haiti,Scotland,,
8,group,Australia,Turkey,,
9,group,Germany,Curaçao,,
10,group,Netherlands,Japan,,
11,group,Ivory Coast,Ecuador,,
12,group,Sweden,Tunisia,,
13,group,Spain,Cape Verde,,
14,group,Belgium,Egypt,,
15,group,Saudi Arabia,Uruguay,,
16,group,Iran,New Zealand,,
17,group,France,Senegal,,
18,group,Iraq,Norway,,
19,group,Argentina,Algeria,,
20,group,Austria,Jordan,,
21,group,Portugal,DR Congo,,
22,group,England,Croatia,,
23,group,Ghana,Panama,,
24,group,Uzbekistan,Colombia,,
25,group,Czechia,South Africa,,
26,group,Switzerland,Bosnia & Herzegovina,,
27,group,Canada,Qatar,10,0
28,group,Mexico,South Korea,,
29,group,USA,Australia,,
30,group,Scotland,Morocco,0,2
31,group,Brazil,Haiti,,
32,group,Turkey,Paraguay,,
33,group,Netherlands,Sweden,,
34,group,Germany,Ivory Coast,,
35,group,Ecuador,Curaçao,,
36,group,Tunisia,Japan,0,4
