match_id,team,minute,player,scorer_age,dob
4,Paraguay,7,Damián Bobadilla,24y 336d,2001-07-11
5,Switzerland,90+4,Miro Muheim,28y 81d,1998-03-24
14,Egypt,66,Mohamed Hany,30y 133d,1996-02-02
18,Iraq,90+6,Aymen Hussein,30y 25d,1996-05-22
20,Jordan,76,Yazan Alarab,30y 137d,1996-01-31
27,Qatar,75,Mohamed Manai,23y 242d,2002-10-25
29,Australia,11,Cameron Burgess,30y 249d,1995-10-21
37,Saudi Arabia,49,Hassan Al-Tambakti,27y 139d,1999-02-09
45,Uzbekistan,60,Abduvohid Nematov,25y 95d,2001-03-20
50,Qatar,34,Mahmoud Abunada,26y 139d,2000-02-05
52,Morocco,10,Yassine Bounou,35y 80d,1991-04-05
58,Tunisia,3,Ellyes Skhiri,31y 46d,1995-05-10
86,Egypt,55,Mohamed Hany,,
87,Cape Verde,111,Diney Borges,,
