team,stage,flip,out
Spain,group,,
France,group,,
England,group,,
Argentina,group,,
Portugal,group,,
Brazil,group,,
Netherlands,group,,
Belgium,group,,
Germany,group,,
Norway,group,,
Colombia,group,,
USA,group,,
Switzerland,group,,
Mexico,group,,
Morocco,group,,
Turkey,group,,
Japan,group,,
Uruguay,group,,
Ecuador,group,,
Croatia,group,,
Canada,group,,
Senegal,group,,
Austria,group,,
Paraguay,group,,
Sweden,group,,
Ivory Coast,group,,
Egypt,group,,
Czechia,group,,
South Korea,group,,
Scotland,group,,
Algeria,group,,
Bosnia & Herzegovina,group,,
Australia,group,,
Ghana,group,,
South Africa,group,,
Panama,group,,
DR Congo,group,,
Saudi Arabia,group,,
Tunisia,group,,
Uzbekistan,group,,
New Zealand,group,,
Cape Verde,group,,
Jordan,group,,
Iraq,group,,
Haiti,group,,
Qatar,group,,
Curaçao,group,,
Iran,group,,
