match_id,team,minute,off,on
1,Mexico,66,Álvaro Fidalgo,Gilberto Mora
1,Mexico,66,Brian Gutiérrez,Luis Chávez
1,Mexico,76,Érik Lira,Edson Álvarez
1,Mexico,76,Raúl Jiménez,Armando González
1,Mexico,79,Julián Quiñones,Alexis Vega
1,South Africa,56,Lyle Foster,Thalente Mbatha
1,South Africa,61,Jayden Adams,Themba Zwane
1,South Africa,76,Aubrey Modiba,Oswin Appollis
1,South Africa,76,Iqraam Rayners,Evidence Makgopa
2,South Korea,62,Lee Jae-sung,Hwang Hee-chan
2,South Korea,69,Son Heung-min,Eom Ji-sung
2,South Korea,69,Lee Tae-seok,Oh Hyeon-gyu
2,South Korea,84,Hwang In-beom,Kim Jin-gyu
2,South Korea,84,Paik Seung-ho,Park Jin-seob
2,Czechia,63,Lukáš Provod,Adam Hložek
2,Czechia,63,Patrik Schick,Michal Sadílek
2,Czechia,63,Pavel Šulc,Tomáš Chorý
2,Czechia,84,Alexandr Sojka,Mojmír Chytil
3,Canada,61,Tajon Buchanan,Ali Ahmed
3,Canada,61,Liam Millar,Promise David
3,Canada,61,Jonathan David,Jacob Shaffelburg
3,Canada,76,Tani Oluwaseyi,Cyle Larin
3,Canada,90+1,Stephen Eustáquio,Jonathan Osorio
3,Bosnia & Herzegovina,62,Ivan Bašić,Armin Gigović
3,Bosnia & Herzegovina,62,Jovo Lukić,Samed Baždar
3,Bosnia & Herzegovina,74,Esmir Bajraktarević,Ivan Šunjić
3,Bosnia & Herzegovina,74,Amar Memić,Kerim Alajbegović
3,Bosnia & Herzegovina,83,Sead Kolašinac,Dženis Burnić
4,USA,46,Christian Pulisic,Sebastian Berhalter
4,USA,72,Sergiño Dest,Timothy Weah
4,USA,72,Folarin Balogun,Ricardo Pepi
4,USA,82,Malik Tillman,Giovanni Reyna
4,Paraguay,46,Damián Bobadilla,Maurício Prado
4,Paraguay,62,Antonio Sanabria,Álex Arce
4,Paraguay,79,Juan José Cáceres,Gustavo Velázquez
4,Paraguay,79,Diego Gómez,Ramón Sosa
4,Paraguay,79,Miguel Almirón,Kaku
5,Qatar,60,Ayoub Al-Oui,Ahmed Fathy
5,Qatar,60,Jassem Gaber,Karim Boudiaf
5,Qatar,60,Yusuf Abdurisag,Ahmed Alaaeldin
5,Qatar,78,Assim Madibo,Mohamed Manai
5,Qatar,88,Edmilson Junior,Hassan Al-Haydos
5,Switzerland,65,Michel Aebischer,Johan Manzambi
5,Switzerland,65,Dan Ndoye,Fabian Rieder
5,Switzerland,79,Rubén Vargas,Zeki Amdouni
5,Switzerland,89,Remo Freuler,Miro Muheim
5,Switzerland,89,Ricardo Rodriguez,Ardon Jashari
6,Brazil,46,Roger Ibañez,Danilo
6,Brazil,46,Casemiro,Fabinho
6,Brazil,61,Lucas Paquetá,Matheus Cunha
6,Brazil,61,Igor Thiago,Luiz Henrique
6,Brazil,80,Bruno Guimarães,Danilo Santos
6,Morocco,64,Brahim Díaz,Chemsdine Talbi
6,Morocco,64,Azzedine Ounahi,Samir El Mourabet
6,Morocco,80,Noussair Mazraoui,Anass Salah-Eddine
6,Morocco,80,Bilal El Khannouss,Ayoube Amaimouni
6,Morocco,89,Ismael Saibari,Soufiane Rahimi
7,Haiti,61,Louicius Deedson,Josué Casimir
7,Haiti,75,Wilson Isidor,Lenny Joseph
7,Haiti,85,Ruben Providence,Yassin Fortuné
7,Scotland,75,Aaron Hickey,Nathan Patterson
7,Scotland,75,Ben Gannon-Doak,Ryan Christie
7,Scotland,75,Ché Adams,Lyndon Dykes
7,Scotland,82,Lawrence Shankland,Kenny McLean
7,Scotland,82,John McGinn,Findlay Curtis
8,Australia,61,Nestory Irankunda,Nishan Velupillay
8,Australia,74,Jacob Italiano,Jason Geria
8,Australia,74,Mohamed Touré,Tete Yengi
8,Australia,83,Jordan Bos,Aziz Behich
8,Australia,83,Paul Okon-Engstler,Jackson Irvine
8,Turkey,46,Barış Alper Yılmaz,Kenan Yıldız
8,Turkey,62,Orkun Kökçü,Yunus Akgün
8,Turkey,80,Zeki Çelik,Mert Müldür
8,Turkey,80,İsmail Yüksek,Salih Özcan
8,Turkey,85,Kerem Aktürkoğlu,Deniz Gül
9,Germany,64,Jamal Musiala,Deniz Undav
9,Germany,72,Felix Nmecha,David Raum
9,Germany,72,Jonathan Tah,Antonio Rüdiger
9,Germany,72,Nathaniel Brown,Leon Goretzka
9,Germany,83,Joshua Kimmich,Waldemar Anton
9,Curaçao,46,Hansen,Antonisse
9,Curaçao,65,Jürgen Locadia,Margaritha
9,Curaçao,82,Tahith Chong,Gervane Kastaneer
10,Netherlands,61,Teun Koopmeiners,Crysencio Summerville
10,Netherlands,70,Memphis Depay,Donyell Malen
10,Netherlands,70,Quinten Timber,Tijjani Reijnders
10,Netherlands,81,Nathan Aké,Ryan Gravenberch
10,Netherlands,85,Brian Brobbey,Cody Gakpo
10,Japan,66,Junya Ito,Daizen Maeda
10,Japan,75,Yukinari Sugawara,Ritsu Doan
10,Japan,75,Koki Ogawa,Takefusa Kubo
10,Japan,75,Takehiro Tomiyasu,Tsuyoshi Watanabe
10,Japan,84,Kento Shiogai,Ayase Ueda
11,Ivory Coast,56,Bazoumana Touré,Ange-Yoan Bonny
11,Ivory Coast,56,Elye Wahi,Amad Diallo
11,Ivory Coast,77,Seko Fofana,Ibrahim Sangaré
11,Ivory Coast,77,Nicolas Pépé,Christ Inao Oulaï
11,Ivory Coast,89,Guéla Doué,Odilon Kossounou
11,Ecuador,56,Alan Minda,Nilson Angulo
